Player,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,GOALS,xG,ASSISTS,xA,DUELS PER 90,DUELS WON %,Birth country,Passport country,Foot,Height,Weight,On loan,SUCCESSFUL DEFENSIVE ACTIONS PER 90,DEFENSIVE DUELS PER 90,DEFENSIVE DUELS WON %,AERIAL DUELS PER 90,AERIAL DUELS WON %,SLIDING TACKLES PER 90,PADJ SLIDING TACKLES,SHOTS BLOCKED PER 90,INTERCEPTIONS PER 90,PADJ INTERCEPTIONS,FOULS PER 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,SUCCESSFUL ATTACKING ACTIONS PER 90,GOALS PER 90,Non-penalty goals,NON PENALITY GOALS PER 90,xG PER 90,Head goals,Head goals per 90,SHOTS,SHOTS PER 90,SHOTS ON TARGET %,GOAL CONVERSION %,ASSISTS PER 90,CROSSES PER 90,ACCURATE CROSSES %,DRIBBLES PER 90,SUCCESSFUL DRIBBLES %,OFFENSIVE DUELS PER 90,OFFENSIVE DUELS WON %,TOUCHES IN BOX PER 90,PROGRESSIVE RUNS PER 90,ACCELERATIONS PER 90,PASSES PER 90,ACCURATE PASSES %,FORWARD PASSES PER 90,ACCURATE FORWARD PASSES %,BACK PASSES PER 90,ACCURATE BACK PASSES %,LATERAL PASSES PER 90,ACCURATE LATERAL PASSES %,LONG PASSES PER 90,ACCURATE LONG PASSES %,AVERAGE PASS LENGTH,AVERAGE LONG PASS LENGTH,xA PER 90,SHOT ASSISTS PER 90,SECOND ASSISTS PER 90,THIRD ASSISTS PER 90,SMART PASSES PER 90,ACCURATE SMART PASSES %,KEY PASSES PER 90,PASSES TO FINAL THIRD PER 90,ACCURATE PASSES TO FINAL THIRD %,PASSES TO PENALTY AREA PER 90,ACCURATE PASSES TO PENALTY AREA %,THROUGH PASSES PER 90,ACCURATE THROUGH PASSES %,DEEP COMPLETIONS PER 90,DEEP COMPLETED CROSSES per 90,PROGRESSIVE PASSES PER 90,ACCURATE PROGRESSIVE PASSES %
O. Édouard,Leicester City,"AMF, CF, RWF",26,18000000,2026-06-30,6,168,0,0.54,0,0.11,23.04,32.56,French Guiana,"French Guiana, France",right,187,83,yes,5.89,8.04,46.67,4.29,37.5,0.54,0.77,0.54,1.61,2.31,3.21,0,0,0,0,1.07,0,0,0,0.29,0,0,5,2.68,20,0,0,0.54,0,1.61,33.33,5.89,9.09,4.82,1.07,0,16.61,64.52,3.21,66.67,2.68,80,5.89,63.64,1.07,100,8.66,5.5,0.06,0.54,0,0,0,0,0,2.14,100,0,0,0,0,0.54,0,2.14,50
A. Fatawu,Leicester City,"RAMF, RW, RB",20,0,,11,663,0,0.35,2,0.99,33.8,49,Ghana,Ghana,left,177,73,no,8.01,7.74,64.91,3.67,44.44,0.27,0.37,0,2.71,3.7,1.36,0,0,0,0,9.37,0,0,0,0.05,0,0,12,1.63,25,0,0.27,4.89,50,11.27,57.83,19.14,46.1,2.71,5.57,1.09,24.3,70.95,5.29,71.79,4.21,90.32,9.1,74.63,2.04,53.33,15.93,16.81,0.13,0.54,0.14,0,0.27,0,0.41,2.04,53.33,3.67,55.56,0.68,20,1.09,2.17,4.89,86.11
H. Winks,Leicester City,"RDMF, LDMF, RCMF",28,12000000,2026-06-30,11,971,0,0.16,2,2.24,7.6,50,England,England,right,178,65,no,5.1,3.61,53.85,0.83,33.33,0.28,0.35,0.46,2.87,3.65,0.46,3,0.28,0,0,0.83,0,0,0,0.01,0,0,7,0.65,28.57,0,0.19,0.28,33.33,0.83,55.56,2.22,54.17,0.09,0.93,0.19,45.51,91.24,16.59,87.71,4.82,96.15,15.57,94.05,2.32,60,15.83,20.77,0.21,1.02,0,0,0.09,100,0.09,7.14,84.42,1.11,33.33,0.19,0,0.37,0.09,7.42,77.5
F. Buonanotte,Leicester City,"AMF, RAMF, RWF",19,0,,12,969,4,3.03,2,1.32,27.4,43.73,Argentina,"Argentina, Italy",left,174,66,yes,9.66,9.1,58.16,2.51,18.52,0.65,0.83,0.56,3.72,4.72,1.49,5,0.46,0,0,2.97,0.37,4,0.37,0.28,0,0,21,1.95,42.86,19.048,0.19,0.84,22.22,5.02,38.89,11.98,38.76,2.04,2.23,0.09,26.84,78.89,6.78,64.38,6.59,94.37,7.71,75.9,1.49,50,16.51,31,0.12,0.93,0.09,0,0,0,0.46,3.9,71.43,2.14,52.17,0.46,60,1.11,0.28,4.18,68.89
V. Kristiansen,Leicester City,LB,21,15000000,2028-06-30,12,1147,0,0,1,1.18,18.05,51.3,Denmark,Denmark,left,181,72,no,11.46,10.44,60.9,2.51,31.25,0.24,0.28,0.63,4.86,5.71,0.71,1,0.08,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0.08,1.88,45.83,0.94,41.67,3.06,43.59,0.16,1.18,0,35.23,80.85,13.97,70.79,5.26,98.51,10.2,80.77,4.24,53.7,18.71,35.34,0.09,0.86,0.08,0.08,0.24,33.33,0.55,4.24,70.37,2.04,42.31,0.55,14.29,0.16,0.86,7.14,61.54
B. El Khannouss,Leicester City,"AMF, LAMF, LW",20,0,2028-06-30,9,408,1,0.32,1,0.7,15.22,36.23,Belgium,"Belgium, Morocco",right,180,70,no,4.85,6.84,45.16,1.54,28.57,0.22,0.29,0,1.54,2.02,2.43,0,0,0,0,2.65,0.22,1,0.22,0.07,0,0,3,0.66,33.33,33.333,0.22,1.1,60,2.21,70,4.63,38.1,1.1,1.1,0,35.74,82.1,11.47,67.31,7.28,93.94,9.93,91.11,1.76,50,20.67,21.85,0.16,1.1,0,0,0.44,50,0.22,6.62,73.33,2.21,60,0.44,0,0.88,0.66,7.28,66.67
C. Okoli,Leicester City,LCB,23,8000000,2029-06-30,9,829,0,0.68,0,0,14.98,61.59,Italy,"Italy, Nigeria",right,191,91,no,11.72,5.97,81.82,5.21,43.75,0.22,0.28,1.3,6.62,8.43,0.54,1,0.11,0,0,0.22,0,0,0,0.07,0,0,4,0.43,50,0,0,0.11,0,0,0,0.87,25,0.76,0.54,0,42.67,86.51,16.39,75.5,2.61,100,18.13,92.22,3.37,51.61,19.15,41.17,0,0,0,0,0,0,0,3.8,74.29,0.43,0,0.22,0,0.11,0,6.62,52.46
K. McAteer,Leicester City,"RAMF, RW, LAMF",23,900000,2028-06-30,7,227,0,0.7,1,0.15,22.2,48.21,England,England,right,177,72,no,8.33,7.93,60,5.95,26.67,0.79,1,0.4,2.78,3.5,1.19,0,0,0,0,1.98,0,0,0,0.28,0,0,5,1.98,20,0,0.4,1.98,40,1.59,50,6.34,56.25,2.38,2.78,0,21.81,72.73,6.34,43.75,4.76,91.67,5.55,78.57,0.79,50,13.67,6.69,0.06,0.4,0,0,0,0,0.4,1.59,75,1.59,25,0,0,0.4,0.4,2.38,66.67
J. Ayew,Leicester City,"AMF, RAMF, CF",33,4000000,2026-06-30,14,709,3,2.73,0,0.14,29.45,34.48,France,"France, Ghana",right,182,80,no,6.09,5.97,46.81,5.46,30.23,0.38,0.52,0,2.92,3.99,1.65,4,0.51,0,0,2.54,0.38,2,0.25,0.35,0,0,15,1.9,33.33,20,0,1.52,33.33,3.3,38.46,14.85,32.48,2.16,1.02,0.25,21.45,85.8,3.43,70.37,7.74,100,6.22,83.67,1.14,44.44,16.83,14.96,0.02,0.38,0.13,0,0.13,100,0,2.28,77.78,2.03,62.5,0.51,50,0.63,0.51,2.67,85.71
J. Vestergaard,Leicester City,"LCB, RCB",32,3000000,2027-06-30,6,535,0,0,0,0.02,9.59,64.91,Denmark,"Denmark, Germany",right,199,98,no,7.57,4.54,77.78,3.2,52.63,0.34,0.38,0.34,3.7,4.2,0.84,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,50,0.17,0.34,0,48.11,90.91,20.52,84.43,2.19,100,21.36,95.28,4.04,62.5,18.66,36.76,0,0.17,0,0.17,0,0,0,4.71,85.71,0,0,0.17,0,0,0,6.9,70.73
J. Vardy,Leicester City,CF,37,1000000,2025-06-30,13,1143,5,3.16,2,1.73,10.16,37.98,England,England,right,179,74,no,2.2,2.13,40.74,3.23,46.34,0.08,0.1,0.16,1.26,1.56,0.79,4,0.31,0,0,1.18,0.39,4,0.31,0.25,1,0.08,14,1.1,50,35.714,0.16,0.71,22.22,0.71,66.67,2.52,37.5,2.68,0.47,0,9.06,77.39,1.18,66.67,3.07,92.31,1.89,70.83,0.08,0,17.04,3.87,0.14,0.71,0,0,0,0,0.63,0.39,100,0.79,80,0,0,0.79,0.16,0.55,71.43
C. Coady,Leicester City,"CB, RCB",31,3000000,2026-06-30,3,220,0,0,0,0,7.77,52.63,England,England,right,185,80,no,8.59,4.09,70,2.05,40,0.41,0.43,2.05,5.32,5.65,0.82,1,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.82,0,0,0,0,33.55,87.8,12.27,76.67,2.45,83.33,13.09,93.75,4.5,63.64,20.07,29.37,0,0,0,0,0,0,0,2.86,85.71,0.41,0,0.41,0,0,0,5.32,76.92
B. De Cordova-Reid,Leicester City,"LW, LAMF, RAMF",31,5000000,2027-06-30,9,262,0,0.05,0,0,16.49,29.17,England,"England, Jamaica",right,170,68,no,4.12,6.18,50,1.72,20,0,0,0,1.03,1.17,1.37,0,0,0,0,1.03,0,0,0,0.02,0,0,2,0.69,50,0,0,1.03,33.33,1.03,0,6.18,16.67,2.06,0.34,0,24.39,80.28,8.24,58.33,6.18,100,4.47,84.62,2.4,28.57,15.96,18.03,0,0.34,0,0,0.34,100,0,2.4,57.14,2.06,50,0.34,0,0.69,0.34,4.12,66.67
W. Ndidi,Leicester City,"RDMF, AMF, LCMF",27,16000000,2027-06-30,14,1276,0,1.7,3,0.92,21.16,47.67,Nigeria,Nigeria,right,183,74,no,12.13,9.87,63.57,3.03,51.16,0.28,0.33,0.63,5.57,6.6,1.69,4,0.28,0,0,0.99,0,0,0,0.12,0,0,11,0.78,54.55,0,0.21,1.2,11.76,0.92,38.46,5.36,28.95,1.83,0.63,0.28,34,84.85,9.03,71.88,8.11,95.65,9.59,85.29,2.82,60,15.65,28.22,0.07,0.42,0,0.07,0.14,50,0.28,3.81,77.78,1.48,33.33,0.49,57.14,0.56,0.21,4.23,58.33
W. Faes,Leicester City,"RCB, LCB",26,20000000,2027-06-30,14,1351,1,0.72,0,0.18,11.19,54.76,Belgium,Belgium,right,187,84,no,9.99,4.6,65.22,3.33,56,0.6,0.74,1.13,6.4,7.93,0.6,2,0.13,0,0,0.13,0.07,1,0.07,0.05,1,0.07,3,0.2,33.33,33.333,0,0.07,0,0.2,33.33,1.07,12.5,0.33,0.6,0.07,39.24,87.61,15.66,78.3,2.66,95,16.12,95.87,5.26,50.63,20.25,39.3,0.01,0.07,0.07,0,0,0,0,5.06,65.79,0.87,46.15,0.47,14.29,0.27,0,6,65.56
S. Mavididi,Leicester City,LAMF,26,11000000,2028-06-30,13,742,2,1.79,0,1.21,28.99,41,England,"England, Congo DR",right,182,71,no,7.76,8.85,61.64,1.94,31.25,0,0,0,2.3,2.92,1.09,2,0.24,0,0,4.12,0.24,2,0.24,0.22,0,0,10,1.21,30,20,0,3.15,26.92,6.55,38.89,15.04,32.26,2.91,3.4,0.24,28.63,76.27,5.94,77.55,8.98,91.89,8.13,59.7,0.97,37.5,15.99,13.1,0.15,1.09,0.24,0,0.49,75,0.61,1.94,68.75,3.4,50,0.36,100,1.21,0.85,4.85,75
P. Daka,Leicester City,CF,26,12000000,2026-06-30,3,92,1,0.3,0,0,24.46,48,Zambia,Zambia,right,183,71,no,5.87,6.85,85.71,6.85,14.29,0,0,0,0,0,0.98,0,0,0,0,0.98,0.98,1,0.98,0.3,0,0,3,2.93,33.33,33.333,0,0,0,0.98,0,3.91,75,3.91,0.98,0,12.72,46.15,2.93,0,1.96,100,1.96,50,0.98,0,8.44,12.71,0,0,0,0,0,0,0,1.96,50,0.98,0,0,0,0,0,0.98,0
B. Soumaré,Leicester City,"LDMF, RCMF, DMF",25,14000000,2026-06-30,8,460,0,0.02,0,0.01,11.93,57.38,France,"France, Senegal",right,188,82,no,7.04,4.5,69.57,1.37,71.43,0.78,0.92,0.2,3.13,3.69,0.59,4,0.78,0,0,0.78,0,0,0,0,0,0,1,0.2,0,0,0,0,0,1.76,44.44,3.72,31.58,0.2,0.78,0,42.65,90.37,11.74,88.33,7.43,100,15.07,88.31,2.15,45.45,14.03,26.04,0,0.2,0,0,0,0,0,4.3,72.73,1.17,66.67,0.39,0,0.98,0,6.26,71.88
J. Justin,Leicester City,"RB, LB",26,15000000,2026-06-30,13,1297,2,0.82,1,0.02,17.42,56.97,England,"England, St. Lucia",right,183,80,no,10.76,7.77,70.54,4.16,45,0.35,0.41,0.21,4.93,5.88,0.49,2,0.14,0,0,1.11,0.14,2,0.14,0.06,1,0.07,8,0.56,25,25,0.07,1.6,26.09,1.04,53.33,2.85,46.34,0.97,0.62,0.14,33.1,80.71,12,67.05,4.72,95.59,10.2,86.39,4.16,48.33,17.72,35.69,0,0.07,0,0.07,0,0,0.07,4.02,67.24,1.53,27.27,0.42,16.67,0.14,0.14,6.18,58.43
O. Skipp,Leicester City,"LDMF, RDMF, LCMF",24,15000000,2029-06-30,8,558,0,0.06,0,0.15,13.06,51.85,England,England,right,175,70,no,6.94,5.81,52.78,1.29,50,0.65,0.75,0.48,3.23,3.77,1.29,3,0.48,0,0,0.97,0,0,0,0.01,0,0,1,0.16,100,0,0,0.16,0,1.13,57.14,3.71,47.83,0,0.81,0.65,30.97,87.5,8.39,73.08,4.52,92.86,10.97,95.59,1.45,55.56,15.12,21.46,0.02,0.16,0,0,0.16,100,0.32,4.68,72.41,0.81,80,0.48,66.67,0.65,0,3.55,72.73
M. Hermansen,Leicester City,GK,24,9000000,2028-06-30,14,1414,0,0,0,0,0.45,85.71,Denmark,Denmark,right,187,81,no,1.91,0.13,100,0.19,100,0,0,0,1.78,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,21.51,84.32,13.88,77.98,0,0,6.62,96.15,8.78,65.22,31.7,46.39,0,0,0,0,0,0,0,2.61,51.22,0,0,0.19,33.33,0,0,5.79,75.82
L. Thomas,Leicester City,LWB,23,6000000,,1,102,0,0.02,0,0,15.88,50,England,England,left,181,68,no,12.35,7.06,62.5,3.53,25,0,0,0,7.94,8.18,0,0,0,0,0,0,0,0,0,0.02,0,0,1,0.88,0,0,0,2.65,0,0,0,2.65,33.33,3.53,0,0,37.06,78.57,10.59,50,9.71,100,7.94,88.89,3.53,25,16.59,28.07,0,0,0,0,0,0,0,6.18,57.14,0.88,100,0,0,0.88,0,6.18,42.86
H. Choudhury,Leicester City,RCMF,27,4500000,2027-06-30,1,20,0,0,0,0,,,England,"England, Bangladesh",right,178,64,no,,,,,,,0,,,6,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,10.76,0,,,,,,,,,,,,,,,,,
F. Chiesa,Liverpool,CF,26,35000000,2028-06-30,1,27,0,0.03,0,0,,,Italy,Italy,right,176,70,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,13.34,0,,,,,,,,,,,,,,,,,
K. Tsimikas,Liverpool,LB,28,22000000,2027-06-30,6,265,0,0.07,0,0.46,15.28,53.33,Greece,Greece,left,179,68,no,9.51,8.49,60,2.04,50,0,0,0.34,4.42,7.5,1.02,0,0,0,0,1.02,0,0,0,0.02,0,0,2,0.68,50,0,0,1.02,0,0.34,100,2.72,25,0,2.04,0.34,59.43,90.86,27.51,87.65,8.49,100,16.98,92,4.75,64.29,17.16,34.65,0.15,1.02,0.34,0,0.34,100,0,7.81,78.26,2.38,28.57,1.36,75,0.34,0,8.15,83.33
Diogo Jota,Liverpool,CF,27,50000000,2027-06-30,7,525,2,2.49,2,0.86,24.69,43.75,Portugal,Portugal,right,178,73,no,5.49,6.51,60.53,6.34,32.43,0,0,0,1.54,2.35,1.54,1,0.17,0,0,3.43,0.34,2,0.34,0.43,0,0,13,2.23,23.08,15.385,0.34,1.54,22.22,4.46,50,9.6,37.5,5.31,2.06,0.69,16.63,71.13,3.77,36.36,3.6,90.48,5.14,80,0.86,60,17.59,14.91,0.15,0.51,0,0,0.34,100,0.51,1.37,75,0.86,40,0.17,100,0.86,0.34,2.06,66.67
Alisson,Liverpool,GK,32,28000000,2027-06-30,6,577,0,0,0,0,0.47,66.67,Brazil,Brazil,right,191,91,no,0.78,0,0,0.31,100,0,0,0,0.78,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,28.7,88.04,12.17,73.08,0,0,14.19,98.9,6.4,51.22,23.86,44.83,0,0,0,0,0,0,0,1.87,25,0,0,0,0,0,0,4.68,60
C. Bradley,Liverpool,RB,21,15000000,2027-06-30,7,286,0,1.02,0,0,16.99,50,Northern Ireland,Northern Ireland,right,181,74,no,10.38,10.38,51.52,1.26,50,0.31,0.57,0,4.72,8.49,1.26,1,0.31,0,0,1.89,0,0,0,0.32,0,0,5,1.57,40,0,0,0.94,66.67,1.26,50,4.09,53.85,3.78,2.83,0.63,50.98,89.51,15.73,70,10.07,100,17.31,96.36,3.15,10,16.63,33.69,0,0,0,0,0,0,0,3.46,54.55,0.94,33.33,0,0,0.63,0.31,5.66,66.67
I. Konaté,Liverpool,RCB,25,45000000,2026-06-30,12,1086,1,1.32,1,0.29,10.94,66.67,France,"France, Mali",right,194,95,no,8.12,4.48,74.07,3.23,76.92,0.33,0.5,0.41,4.48,6.78,0.75,4,0.33,0,0,0.33,0.08,1,0.08,0.11,1,0.08,7,0.58,28.57,14.286,0.08,0,0,0.17,100,1.33,43.75,0.66,0.58,0.17,58.01,92.86,21.38,85.27,4.89,98.31,25.28,97.7,3.48,45.24,18.92,42.22,0.02,0.08,0,0.08,0.08,0,0.08,6.38,77.92,0.58,42.86,0.58,28.57,0.08,0,8.2,72.73
H. Elliott,Liverpool,"RAMF, LAMF",21,35000000,2027-06-30,2,17,0,0,0,0,,,England,England,left,170,67,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,14.05,0,,,,,,,,,,,,,,,,,
J. Quansah,Liverpool,"RB, RCB",21,22000000,2027-06-30,3,167,0,0,0,0,24.25,60,England,"England, Scotland",right,190,78,no,12.4,13.47,60,4.31,62.5,0.54,0.86,0.54,3.77,6,2.69,1,0.54,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0.54,100,1.62,33.33,4.85,55.56,0,0.54,0,44.73,83.13,16.71,64.52,4.31,100,14.55,96.3,2.16,50,18.29,43.81,0,0,0,0,0,0,0,2.69,60,1.62,66.67,0,0,1.08,0,9.16,47.06
W. Endo,Liverpool,"RDMF, LDMF, LCMF",31,13000000,2027-06-30,6,56,0,0,0,0.03,25.71,43.75,Japan,Japan,right,178,77,no,14.46,11.25,71.43,1.61,0,0,0,0,6.43,9.23,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04,20,0,3.21,0,32.14,95,9.64,83.33,9.64,100,6.43,100,0,0,14.68,0,0.06,1.61,0,0,0,0,0,3.21,50,0,0,0,0,0,0,3.21,100
Mohamed Salah,Liverpool,RAMF,32,55000000,2025-06-30,14,1349,13,8.84,7,3.49,17.01,34.51,Egypt,Egypt,left,175,71,no,2.13,2.2,60.61,0.53,12.5,0,0,0,0.8,1.18,0.67,1,0.07,0,0,5.27,0.87,9,0.6,0.59,0,0,42,2.8,61.9,30.952,0.47,2.54,47.37,4.8,47.22,11.48,31.4,6.27,2.87,0.4,27.75,76.2,5.94,57.3,8.54,96.09,7.81,74.36,2.74,58.54,17.93,28.38,0.23,1.53,0,0,0.53,12.5,0.8,2.6,53.85,4.54,54.41,1.33,35,2.34,1.27,5.54,84.34
V. van Dijk,Liverpool,LCB,33,30000000,2025-06-30,14,1399,1,1.22,1,0.55,10.1,70.06,Netherlands,"Netherlands, Suriname",right,193,92,no,6.75,3.54,72.73,4.44,75.36,0,0,0.19,4.18,6.17,0.45,1,0.06,0,0,0.45,0.06,1,0.06,0.08,1,0.06,8,0.51,25,12.5,0.06,0,0,0.19,100,0.71,81.82,0.9,0.39,0.13,63.56,92.51,26.12,87.44,2.7,95.24,27.47,96.96,5.34,53.01,19.12,41.19,0.04,0.32,0,0.13,0.13,100,0.13,8.36,76.15,0.58,44.44,0.26,50,0.26,0,8.36,83.08
A. Robertson,Liverpool,LB,30,30000000,2026-06-30,13,1125,0,0.65,0,1.57,8.56,44.86,Scotland,Scotland,left,178,64,no,5.52,5.04,50.79,0.96,33.33,0.08,0.12,0.24,2.88,4.17,0.32,1,0.08,0,0,1.52,0,0,0,0.05,0,0,4,0.32,50,0,0,2.48,41.94,0.64,37.5,1.6,30,1.44,1.68,0.8,52.4,87.79,18.24,83.77,7.52,97.87,18.64,90.13,4.24,52.83,19.85,37.29,0.13,1.2,0,0,0.16,50,0.48,6.4,80,2.32,55.17,0.56,42.86,0.32,0.96,9.28,75
J. Gomez,Liverpool,RCB,27,28000000,2027-06-30,5,243,0,0.29,0,0,11.48,74.19,England,"England, Gambia",right,188,77,no,10.37,5.56,66.67,2.59,71.43,0,0,1.85,6.67,8.31,0,0,0,0,0,0.74,0,0,0,0.11,0,0,2,0.74,100,0,0,0,0,0,0,1.48,100,0.74,0.37,0.37,57.41,87.74,20,79.63,8.15,95.45,21.48,96.55,5.19,57.14,17.18,26.05,0,0,0,0.37,0,0,0,5.19,64.29,0,0,0.37,100,0,0,9.63,61.54
C. Kelleher,Liverpool,GK,26,20000000,2026-06-30,8,805,0,0,0,0,0.45,75,Republic of Ireland,Republic of Ireland,right,188,74,no,0.89,0.11,100,0.22,100,0,0,0,0.78,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.83,86.25,13.08,72.65,0,0,11.74,100,8.72,58.97,28.7,50.41,0,0,0.11,0,0,0,0,2.68,50,0.22,0,0,0,0,0,6.6,71.19
T. Alexander-Arnold,Liverpool,RB,26,70000000,2025-06-30,13,1047,0,0.58,2,3.18,13.32,49.03,England,England,right,180,69,no,8.34,8.51,58.59,0.86,30,0.09,0.12,0.17,3.27,4.65,0.34,3,0.26,0,0,2.15,0,0,0,0.05,0,0,14,1.2,21.43,0,0.17,2.58,40,1.63,42.11,3.35,35.9,1.2,1.29,0.6,47.02,74.59,21.66,63.49,5.76,100,13.75,77.5,9.89,38.26,21.89,40.18,0.27,1.81,0.26,0,0.34,50,0.6,9.63,54.46,4.3,48,2.06,29.17,1.46,0.95,12.12,70.92
C. Gakpo,Liverpool,LAMF,25,55000000,2028-06-30,14,705,2,3.57,1,0.88,20.55,49.69,Netherlands,"Netherlands, Togo",right,189,76,no,6.38,5.49,58.14,2.04,43.75,0.26,0.38,0,2.94,4.34,1.02,3,0.38,0,0,5.74,0.26,2,0.26,0.46,0,0,22,2.81,22.73,9.091,0.13,3.83,23.33,6.51,64.71,10.85,49.41,4.47,2.17,0.13,28.85,78.32,5.62,63.64,9.96,94.87,8.04,69.84,1.66,53.85,17.23,12.13,0.11,1.28,0,0,0.13,0,0.51,1.91,66.67,4.09,37.5,0.51,0,1.4,0.89,3.45,81.48
L. Díaz,Liverpool,"LAMF, CF",27,75000000,2027-06-30,14,873,5,3.54,2,1.55,24.23,38.3,Colombia,Colombia,right,180,73,no,6.8,7.42,52.78,2.37,34.78,0.31,0.45,0.1,2.58,3.71,2.16,0,0,0,0,4.54,0.52,5,0.52,0.36,1,0.1,22,2.27,45.45,22.727,0.21,1.55,33.33,5.77,50,12.16,32.2,4.85,4.33,1.13,28.87,86.07,4.43,81.4,7.53,93.15,11.24,85.32,1.24,83.33,16.55,24.04,0.16,1.34,0,0,0.21,50,0.52,2.27,86.36,2.58,72,0.1,100,2.16,0.41,3.71,83.33
C. Jones,Liverpool,"AMF, LDMF",23,35000000,2027-06-30,11,633,2,1.19,1,0.17,19.19,40.74,England,England,right,185,75,no,5.26,5.69,47.5,1.85,23.08,0.28,0.46,0.85,2.27,3.69,1,0,0,0,0,2.42,0.28,2,0.28,0.17,0,0,13,1.85,38.46,15.385,0.14,0.43,0,1.71,83.33,9.95,41.43,2.13,0.71,0.14,47.35,94.59,11.8,86.75,12.8,100,13.93,97.96,0.85,50,15.81,20.09,0.02,0.43,0,0.14,0.43,66.67,0.28,4.27,80,1.42,60,0.43,66.67,0.85,0,3.41,83.33
D. Szoboszlai,Liverpool,AMF,24,75000000,2028-06-30,14,1055,1,1.72,1,1.01,13.65,48.75,Hungary,Hungary,right,186,74,no,6.57,6.74,53.16,1.79,52.38,0.09,0.12,0.17,2.9,4.21,1.54,3,0.26,0,0,1.79,0.09,1,0.09,0.15,0,0,19,1.62,36.84,5.263,0.09,1.36,37.5,1.11,53.85,3.67,41.86,1.96,2.13,0.94,43.34,86.61,8.53,70,13.73,95.65,12.28,88.19,2.05,58.33,16.43,30.36,0.09,1.45,0.09,0.17,0.26,33.33,0.34,4.52,71.7,2.3,59.26,0.26,33.33,1.11,0.43,3.92,71.74
A. Mac Allister,Liverpool,LDMF,25,75000000,2028-06-30,14,1087,0,0.76,0,1.07,17.06,56.31,Argentina,"Argentina, Italy",right,174,72,no,9.94,9.27,62.5,1.57,47.37,0.17,0.24,0,3.97,5.83,1.57,5,0.41,0,0,1.16,0,0,0,0.06,0,0,10,0.83,50,0,0,0.5,33.33,1.08,53.85,4.06,44.9,1.74,1.32,0.33,44.63,87.01,11.92,76.39,9.6,97.41,14.32,89.6,2.73,63.64,16.02,28.12,0.09,0.66,0.08,0,0.33,0,0.08,5.13,87.1,1.9,60.87,0.58,28.57,1.08,0.17,5.22,71.43
V. Jaroš,Liverpool,GK,23,5000000,2025-06-30,1,17,0,0,0,0,,,Czech Republic,Czech Republic,right,190,74,no,,,,,,,0,,,7.5,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,43.29,47.7,,,,,,,,,,,,,,,,,
R. Gravenberch,Liverpool,RDMF,22,35000000,2028-06-30,14,1366,0,0.52,1,0.98,16.08,61.89,Netherlands,"Netherlands, Suriname",right,190,77,no,9.75,6.72,71.57,1.19,72.22,0.33,0.49,0.26,4.61,6.8,1.32,4,0.26,0,0,1.71,0,0,0,0.03,0,0,7,0.46,28.57,0,0.07,0.2,100,1.91,62.07,6.26,51.58,0.72,1.78,0.53,53.17,89.47,14.49,76.82,9.55,95.17,18.71,95.07,2.11,50,15.6,35.34,0.06,0.46,0.13,0,0.33,60,0.26,6.39,80.41,1.52,65.22,0.79,50,1.05,0.2,5.67,67.44
D. Núñez,Liverpool,CF,25,70000000,2028-06-30,11,697,2,2.13,1,0.35,17.43,43.7,Uruguay,Uruguay,right,186,80,no,5.81,6.2,54.17,4,32.26,0.52,0.81,0.13,1.94,3.04,1.94,3,0.39,0,0,2.2,0.26,2,0.26,0.28,0,0,14,1.81,50,14.286,0.13,0.26,50,2.07,56.25,6.07,46.81,4.13,1.81,0.9,13.82,74.77,3.23,64,3.87,93.33,3.49,62.96,1.16,44.44,16.59,21.88,0.04,0.39,0.13,0,0,0,0.39,0.77,50,0.9,14.29,0.26,50,0.65,0.13,1.55,58.33
Rodri,Manchester City,"RDMF, DMF",28,130000000,2027-06-30,2,69,0,0,0,0,11.74,66.67,Spain,Spain,right,191,82,no,5.22,3.91,66.67,2.61,100,0,0,0,2.61,4,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,50,0,1.3,0,78.26,95,16.96,76.92,14.35,100,32.61,100,6.52,80,20.2,35.49,0.01,1.3,0,0,0,0,0,14.35,90.91,5.22,50,0,0,2.61,0,7.83,100
